Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,23034,1966,02,23.6,Y
IDCJAC0001,23034,1966,03,20.1,Y
IDCJAC0001,23034,1966,04,5.0,Y
IDCJAC0001,23034,1966,05,52.6,Y
IDCJAC0001,23034,1966,06,73.8,Y
IDCJAC0001,23034,1966,07,88.7,Y
IDCJAC0001,23034,1966,08,33.1,Y
IDCJAC0001,23034,1966,09,56.4,Y
IDCJAC0001,23034,1966,10,28.2,Y
IDCJAC0001,23034,1966,11,19.3,Y
IDCJAC0001,23034,1966,12,62.9,Y
IDCJAC0001,23034,1967,01,16.4,Y
IDCJAC0001,23034,1967,02,35.4,Y
IDCJAC0001,23034,1967,03,2.7,Y
IDCJAC0001,23034,1967,04,8.6,Y
IDCJAC0001,23034,1967,05,27.2,Y
IDCJAC0001,23034,1967,06,7.2,Y
IDCJAC0001,23034,1967,07,48.5,Y
IDCJAC0001,23034,1967,08,55.1,Y
IDCJAC0001,23034,1967,09,19.1,Y
IDCJAC0001,23034,1967,10,15.1,Y
IDCJAC0001,23034,1967,11,1.1,Y
IDCJAC0001,23034,1967,12,8.8,Y
IDCJAC0001,23034,1968,01,32.7,Y
IDCJAC0001,23034,1968,02,36.3,Y
IDCJAC0001,23034,1968,03,42.4,Y
IDCJAC0001,23034,1968,04,40.8,Y
IDCJAC0001,23034,1968,05,90.8,Y
IDCJAC0001,23034,1968,06,53.8,Y
IDCJAC0001,23034,1968,07,53.3,Y
IDCJAC0001,23034,1968,08,62.4,Y
IDCJAC0001,23034,1968,09,17.1,Y
IDCJAC0001,23034,1968,10,54.9,Y
IDCJAC0001,23034,1968,11,44.0,Y
IDCJAC0001,23034,1968,12,42.2,Y
IDCJAC0001,23034,1969,01,6.9,Y
IDCJAC0001,23034,1969,02,103.2,Y
IDCJAC0001,23034,1969,03,15.9,Y
IDCJAC0001,23034,1969,04,27.5,Y
IDCJAC0001,23034,1969,05,85.8,Y
IDCJAC0001,23034,1969,06,34.1,Y
IDCJAC0001,23034,1969,07,61.3,Y
IDCJAC0001,23034,1969,08,42.9,Y
IDCJAC0001,23034,1969,09,43.4,Y
IDCJAC0001,23034,1969,10,0.8,Y
IDCJAC0001,23034,1969,11,17.9,Y
IDCJAC0001,23034,1969,12,33.1,Y
IDCJAC0001,23034,1970,01,22.4,Y
IDCJAC0001,23034,1970,02,0.5,Y
IDCJAC0001,23034,1970,03,7.0,Y
IDCJAC0001,23034,1970,04,58.9,Y
IDCJAC0001,23034,1970,05,58.6,Y
IDCJAC0001,23034,1970,06,51.6,Y
IDCJAC0001,23034,1970,07,48.5,Y
IDCJAC0001,23034,1970,08,66.8,Y
IDCJAC0001,23034,1970,09,32.1,Y
IDCJAC0001,23034,1970,10,6.5,Y
IDCJAC0001,23034,1970,11,30.1,Y
IDCJAC0001,23034,1970,12,36.4,Y
IDCJAC0001,23034,1971,01,4.8,Y
IDCJAC0001,23034,1971,02,0.3,Y
IDCJAC0001,23034,1971,03,35.9,Y
IDCJAC0001,23034,1971,04,158.8,Y
IDCJAC0001,23034,1971,05,81.7,Y
IDCJAC0001,23034,1971,06,49.1,Y
IDCJAC0001,23034,1971,07,49.7,Y
IDCJAC0001,23034,1971,08,65.7,Y
IDCJAC0001,23034,1971,09,52.8,Y
IDCJAC0001,23034,1971,10,25.0,Y
IDCJAC0001,23034,1971,11,48.0,Y
IDCJAC0001,23034,1971,12,25.9,Y
IDCJAC0001,23034,1972,01,51.3,Y
IDCJAC0001,23034,1972,02,33.5,Y
IDCJAC0001,23034,1972,03,0.0,Y
IDCJAC0001,23034,1972,04,32.9,Y
IDCJAC0001,23034,1972,05,10.9,Y
IDCJAC0001,23034,1972,06,25.2,Y
IDCJAC0001,23034,1972,07,60.4,Y
IDCJAC0001,23034,1972,08,55.6,Y
IDCJAC0001,23034,1972,09,35.9,Y
IDCJAC0001,23034,1972,10,19.9,Y
IDCJAC0001,23034,1972,11,12.7,Y
IDCJAC0001,23034,1972,12,26.4,Y
IDCJAC0001,23034,1973,01,24.0,Y
IDCJAC0001,23034,1973,02,55.0,Y
IDCJAC0001,23034,1973,03,33.3,Y
IDCJAC0001,23034,1973,04,62.3,Y
IDCJAC0001,23034,1973,05,66.9,Y
IDCJAC0001,23034,1973,06,80.8,Y
IDCJAC0001,23034,1973,07,82.6,Y
IDCJAC0001,23034,1973,08,45.7,Y
IDCJAC0001,23034,1973,09,55.4,Y
IDCJAC0001,23034,1973,10,64.3,Y
IDCJAC0001,23034,1973,11,24.9,Y
IDCJAC0001,23034,1973,12,30.7,Y
