TIME_PERIOD,YoY_Food_CPI
2019-Q1,2.582061
2019-Q2,2.885713
2019-Q3,2.530301
2019-Q4,2.951773
2020-Q1,3.786293
2020-Q2,5.165624
2020-Q3,4.518176
2020-Q4,2.699886
2021-Q1,0.2608735
2021-Q2,0.7840203
2021-Q3,0.797226
2021-Q4,1.482542
2022-Q1,5.291668
2022-Q2,6.571121
2022-Q3,10.71978
2022-Q4,10.32422
2023-Q1,8.285775
2023-Q2,7.387622
2023-Q3,3.470065
2023-Q4,3.691277
2024-Q1,2.740653
2024-Q2,2.743833
2024-Q3,3.615207
2024-Q4,3.201632
2025-Q1,3.673311
